idx,ZCTA5CE10,amount
"1",43130,475
"2",43133,225
"3",43528,260
"4",44510,975
"5",48009,865
"6",48015,3495
"7",48017,420
"8",48021,3760
"9",48025,225
"10",48026,2445
"11",48030,6060
"12",48033,430
"13",48035,1790
"14",48036,250
"15",48038,3505
"16",48042,2575
"17",48043,260
"18",48044,2965
"19",48045,2575
"20",48047,215
"21",48048,200
"22",48051,2385
"23",48064,745
"24",48066,10740
"25",48067,4180
"26",48071,12670
"27",48072,3855
"28",48073,1625
"29",48075,4200
"30",48076,1215
"31",48080,250
"32",48081,2170
"33",48083,975
"34",48084,510
"35",48085,630
"36",48088,7495
"37",48089,4650
"38",48091,13385
"39",48092,8650
"40",48093,9585
"41",48098,255
"42",48099,975
"43",48116,520
"44",48124,480
"45",48126,455
"46",48127,770
"47",48150,960
"48",48167,520
"49",48174,205
"50",48180,530
"51",48185,420
"52",48186,270
"53",48201,1765
"54",48202,1490
"55",48203,2330
"56",48204,2210
"57",48205,7420
"58",48206,1630
"59",48207,210
"60",48208,640
"61",48210,200
"62",48211,995
"63",48212,4140
"64",48213,2465
"65",48214,2245
"66",48215,2490
"67",48219,1880
"68",48220,2160
"69",48221,3815
"70",48224,3920
"71",48225,710
"72",48227,4120
"73",48228,2255
"74",48233,310
"75",48234,10470
"76",48235,2980
"77",48236,225
"78",48237,3475
"79",48238,495
"80",48239,225
"81",48240,500
"82",48301,200
"83",48306,455
"84",48307,510
"85",48309,255
"86",48310,11070
"87",48311,820
"88",48312,7415
"89",48313,1805
"90",48314,1450
"91",48315,3905
"92",48316,3210
"93",48317,970
"94",48322,680
"95",48323,250
"96",48327,500
"97",48329,445
"98",48334,465
"99",48340,2100
"100",48341,430
"101",48342,1470
"102",48346,205
"103",48348,450
"104",48374,245
"105",48383,295
"106",48433,225
"107",48446,660
"108",48453,205
"109",48619,230
"110",48763,450